first,last,website,twitter,img
Alena,Holligan,sketchings.com,alenaholligan,/img/jV-j2pxp_400x400.jpg
ED,Barnard,github.com/ewbarnard,ewbarnard,/img/Nb28pGRI_400x400.jpg
Cal,Evans,blog.calevans.com,CalEvans,/img/dLvUXeuk_400x400.jpg
Samantha,Quiñones,about.me/samantha.quinones,ieatkillerbees,/img/BCkZS14D_400x400.jpg
Adam,Wathan,adamwathan.me,adamwathan,/img//DBPcKygB_400x400.jpg
Lorna,Mitchell,lornajane.net,lornajane,/img/lorna-square_400x400.png
Davey,Shafik,daveyshafik.com,dshafik,/img/hIQgIvkM_400x400.jpg
Gary,Hockin,blog.hock.in,GeeH,/img/9Rx6ttxH_400x400.jpg
Brian,Retterer,brianretterer.com,bretterer,/img/xcbQByy1_400x400.jpg
Larry,Garfield,garfieldtech.com,Crell,/img/x_XBgb56_400x400.jpg
Tessa,Mero,tessamero.com,TessaMero,/img/RGodUDcE_400x400.jpg
Jonathan,Reinink,reinink.ca,reinink,/img/wCMWLE_q_400x400.jpg
Jordi,Boggiano,seld.be,seldaek,/img/avatar-300-sq_400x400.jpg
Sara,Golemon,blog.golemon.com,SaraMG,/img/812538.jpg
Sammy Kaye,Powers,sammyk.me,SammyK,/img/aLTMT0LS_400x400.jpg
Eli,White,eliw.com,EliW,/img/9KKDoUU-_400x400.jpg
Beth,Tucker Long,treelinedesign.com,e3BethT,/img/fgbDHP7h_400x400.png
Adam,Culp,geekyboy.com,adamculp,/img/n4Y3CzVa_400x400.png
Chris,Cornutt,blog.phpdeveloper.org,enygma,/img/NI5JOVA5_400x400.jpg
Elizabeth,Smith,emsmith.net,auroraeosrose,https://pbs.twimg.com/profile_images/25760052/headshot_400x400.jpg
Mike,Stowe,mikestowe.com,mikegstowe,/img/I-ZnsoZa_400x400.png
Joe,Ferguson,JoeFerguson.me,JoePFerguson,/img/FHZD8W6x_400x400.jpg
Michelle,Sanver,about.me/michellesanver,michellesanver,/img/y3Lso7gF_400x400.jpg
Zeev,Suraski,zsuraski.blogspot.com,zeevs,/img/BaBg2wkn_400x400.jpg
Rasmus,Lerdorf,toys.lerdorf.com,rasmus,/img/rl_crop-modified_400x400.jpg
Emma Jane,Hogbin Westby,emmajane.net,emmajanehw,/img/YlfoPGLe_400x400.jpg
Michelangelo,van Dam,dragonbe.com,DragonBe,/img/2gMYC--5_400x400.jpg
Taylor,Otwell,laravel.com,taylorotwell,/img/Hg8W0kXe_400x400.jpg
